tournament_year,stage,match_date,match_time,utc_offset,home_team,away_team,home_goals,away_goals,result_extra,venue,city,status,home_fifaCode,home_flagCode,home_flagUrl,away_fifaCode,away_flagCode,away_flagUrl
1930,Group 1,1930-07-13,,,France,Mexico,4,1,(3-0),Estadio Pocitos,Montevideo,played,FRA,fr,https://flagcdn.com/w80/fr.png,MEX,mx,https://flagcdn.com/w80/mx.png
1930,Group 1,1930-07-15,,,Argentina,France,1,0,(0-0),Estadio Parque Central,Montevideo,played,ARG,ar,https://flagcdn.com/w80/ar.png,FRA,fr,https://flagcdn.com/w80/fr.png
1930,Group 1,1930-07-16,,,Chile,Mexico,3,0,(1-0),Estadio Parque Central,Montevideo,played,CHI,cl,https://flagcdn.com/w80/cl.png,MEX,mx,https://flagcdn.com/w80/mx.png
1930,Group 1,1930-07-19,,,Chile,France,1,0,(0-0),Estadio Centenario,Montevideo,played,CHI,cl,https://flagcdn.com/w80/cl.png,FRA,fr,https://flagcdn.com/w80/fr.png
1930,Group 1,1930-07-19,,,Argentina,Mexico,6,3,(3-1),Estadio Centenario,Montevideo,played,ARG,ar,https://flagcdn.com/w80/ar.png,MEX,mx,https://flagcdn.com/w80/mx.png
1930,Group 1,1930-07-22,,,Argentina,Chile,3,1,(2-1),Estadio Centenario,Montevideo,played,ARG,ar,https://flagcdn.com/w80/ar.png,CHI,cl,https://flagcdn.com/w80/cl.png
1930,Group 2,1930-07-14,,,Yugoslavia,Brazil,2,1,(2-0),Estadio Parque Central,Montevideo,played,YUG,rs,https://flagcdn.com/w80/rs.png,BRA,br,https://flagcdn.com/w80/br.png
1930,Group 2,1930-07-17,,,Yugoslavia,Bolivia,4,0,(0-0),Estadio Parque Central,Montevideo,played,YUG,rs,https://flagcdn.com/w80/rs.png,BOL,bo,https://flagcdn.com/w80/bo.png
1930,Group 2,1930-07-20,,,Brazil,Bolivia,4,0,(1-0),Estadio Centenario,Montevideo,played,BRA,br,https://flagcdn.com/w80/br.png,BOL,bo,https://flagcdn.com/w80/bo.png
1930,Group 3,1930-07-14,,,Romania,Peru,3,1,(1-0),Estadio Pocitos,Montevideo,played,ROU,ro,https://flagcdn.com/w80/ro.png,PER,pe,https://flagcdn.com/w80/pe.png
