"P1","P2","P3","P4","P5","P6","P7","T1","T2","T3"
0.36,0.2499,0.7157,0.2245,0.4694,0.235,0.265,30691236,158195,35967032
0.1157,0.1377,0.4555,0,0.1143,0.1,0.1667,6092311,984994,68731713
0.0937,0.5072,0.3616,0.0912,0.098,0.4898,0.5102,33770,11222493,1562254
0.0935,0.5076,0.3652,0.0878,0.098,0.4898,0.5102,80158,15396912,870488
0.1157,0.1373,0.4555,0,0.1143,0.1,0.1667,3550276,409118,22433488
0.0979,0.1196,0.4614,0.0929,0.1,0.0833,0.1667,11869532,1184782,117060533
0.1157,0.1372,0.4556,0,0.1143,0.1,0.1667,1993450,70030,82064909
0.1157,0.1392,0.4555,0,0.1143,0.0833,0.1667,62129,19913,1612865
0.0979,0.1221,0.4613,0.0857,0.1,0.0833,0.1667,3078024,7872965,100374464
0.0979,0.1259,0.4614,0.0929,0.1,0.0833,0.1667,36267709,7047593,121295726
0.3698,0.2514,0.708,0.2857,0.4694,0.235,0.265,20567301,10064135,25409412
0.0933,0.5083,0.3634,0.0878,0.098,0.4898,0.5102,40523,7970472,2139923
0.1157,0.136,0.4555,0,0.1143,0.1,0.1667,59412,614310,23832524
0.0979,0.1202,0.4613,0.0857,0.1,0.0833,0.1667,9079540,63067079,101966264
0.0938,0.5069,0.3579,0.0878,0.098,0.4898,0.5102,37567,92448,1073251
0.3061,0.2484,0.7041,0.2245,0.3673,0.2325,0.2625,62191,55651,112087
0.0931,0.5087,0.3705,0.0878,0.098,0.4898,0.5102,40916,19264771,286594
0.0936,0.5074,0.3602,0.0878,0.098,0.4898,0.5102,34310,16342757,160031
0.0979,0.126,0.4614,0.0929,0.1,0.08,0.1667,63957336,1589802,112916025
0.1157,0.1393,0.4555,0,0.1143,0.1,0.1667,308750,259754,61981574
0.3551,0.249,0.7334,0.2449,0.4388,0.2325,0.2625,6572609,81502,116801
0.0979,0.1231,0.4614,0.0929,0.1,0.0833,0.1667,322908,3217687,131726670
0.0979,0.1235,0.4614,0.0929,0.1,0.0833,0.1667,9102456,1493004,9100529
0.1157,0.1347,0.4555,0,0.1143,0.0667,0.1667,149333,28367,937400
0.1159,0.1373,0.456,0,0.1143,0.1,0.1667,49304543,617704,230504
0.1157,0.1339,0.4555,0,0.1143,0.0833,0.1667,1357437,185500,66015987
0.1157,0.1379,0.4556,0,0.1143,0.1,0.1667,351654,52249,7039667
0.1157,0.1427,0.4555,0,0.1143,0.1,0.1667,673405,48060,26910219
0.3527,0.2503,0.7646,0.2449,0.4286,0.2375,0.2625,763441,72839,21976243
0.0933,0.5081,0.3625,0.0878,0.0946,0.4898,0.5102,40241,23823735,285295
0.338,0.2502,0.7327,0.2449,0.4592,0.235,0.265,1012580,160782,112874
0.0939,0.5066,0.3589,0.0878,0.098,0.4898,0.5102,98998,17601936,1368565
0.1157,0.1451,0.4555,0,0.1143,0.1111,0.1667,6492358,326609,2514284
0.0931,0.5089,0.3668,0.0912,0.098,0.4898,0.5102,46956,15445842,2048225
0.1157,0.142,0.4556,0,0.1143,0.1,0.1667,1084767,15803,419273
0.1157,0.1346,0.4555,0,0.1143,0.0667,0.1667,1705105,75351,21105527
0.0937,0.5072,0.3624,0.0912,0.098,0.4898,0.5102,55274,36883,231741
0.0935,0.5075,0.3607,0.0878,0.098,0.4898,0.5102,32697,14437742,2229243
0.0933,0.5082,0.3672,0.0912,0.0946,0.4898,0.5102,36681,17324979,826843
0.0979,0.1232,0.4613,0.0857,0.1,0.0833,0.1667,89109732,3455720,100412556
