"P1","P2","P3","P4","P5","P6","P7","T1","T2","T3"
0.0937,0.507,0.3597,0.0912,0.098,0.4898,0.5102,37733,37643,1316461
0.0934,0.508,0.361,0.0878,0.098,0.4898,0.5102,52024,16268618,2168441
0.0935,0.5078,0.3618,0.0878,0.098,0.4898,0.5102,61434,17302802,1676308
0.1159,0.136,0.4561,0,0.1143,0.1,0.1667,55442,22712,56891
0.0937,0.5071,0.361,0.0912,0.098,0.4898,0.5102,54192,44706,68966
0.3208,0.2512,0.7294,0.2143,0.3673,0.235,0.2675,65079,57381,68635
0.1157,0.1376,0.4556,0,0.1143,0.1,0.1667,13443989,1084241,82204489
0.1157,0.1391,0.4556,0,0.1143,0.1,0.1667,2025345,18806,1220223
0.1157,0.1377,0.4555,0,0.1143,0.1,0.1667,1658087,715912,24145772
0.3086,0.2486,0.7164,0.2245,0.3673,0.2325,0.2625,64207,54821,52284
0.0979,0.1249,0.4613,0.0857,0.1,0.0833,0.1667,91033281,1834213,99859782
0.0979,0.1183,0.4614,0.0929,0.1,0.0833,0.1667,24542326,15763,18555688
0.3894,0.2498,0.7495,0.3469,0.4694,0.235,0.265,29258741,11309139,30509366
0.094,0.5065,0.3577,0.0878,0.098,0.4898,0.5102,48833,21937213,634754
0.3347,0.2494,0.7323,0.2347,0.449,0.235,0.2638,74580,221953,198534
0.1157,0.1426,0.4556,0,0.1143,0.1111,0.1667,1569891,46985,1139934
0.1157,0.1323,0.4555,0,0.1143,0.1,0.1667,9395921,443017,6382094
0.1157,0.1411,0.4555,0,0.1143,0.1,0.1667,1556874,360534,94748003
0.3265,0.2484,0.7055,0.2245,0.449,0.2325,0.2625,733127,218185,552080
0.0979,0.1237,0.4614,0.0929,0.1,0.0833,0.1667,18809840,1667203,113097731
0.0932,0.5086,0.3648,0.0878,0.098,0.4898,0.5102,56143,18823944,122369
0.3273,0.2509,0.7204,0.2347,0.4286,0.2325,0.2675,63794,57467,60313
0.3494,0.2505,0.7319,0.2449,0.449,0.235,0.265,4156876,352400,31209073
0.3363,0.2516,0.7099,0.2755,0.398,0.2325,0.2675,76150,57263,850656
0.0979,0.1264,0.4614,0.0929,0.1,0.0833,0.1667,86534822,18101902,102094366
0.1157,0.1437,0.4556,0,0.1143,0.1111,0.1667,1023609,16773,97898457
0.1157,0.1397,0.4556,0,0.1143,0.1,0.1667,6631196,112406,241524
0.0979,0.1211,0.4614,0.0929,0.1,0.0833,0.1667,91765950,809839,99731003
0.1157,0.1355,0.4555,0,0.1143,0.0833,0.1667,3402081,233202,28801925
0.0935,0.5078,0.3616,0.0878,0.098,0.4898,0.5102,33842,17996111,604360
0.1157,0.1357,0.4555,0,0.1143,0.0833,0.1667,308319,219330,16647913
0.0979,0.1284,0.4614,0.0929,0.1,0.0833,0.1667,25500946,127556,99192920
0.0979,0.1208,0.4613,0.0857,0.1,0.0833,0.1667,45158238,324682,108458802
0.0935,0.5079,0.365,0.0878,0.098,0.4898,0.5102,56985,8583208,2094911
0.0933,0.5083,0.3638,0.0878,0.098,0.4898,0.5102,65700,16833841,2781770
0.094,0.5058,0.3598,0.0912,0.098,0,0.5102,52904,40240,1643716
0.3641,0.2513,0.7218,0.2857,0.449,0.2375,0.265,771573,255651,31217387
0.3649,0.2497,0.7357,0.2143,0.5102,0.2325,0.265,15838207,16789978,15653878
0.1157,0.136,0.4555,0,0.1143,0.1111,0.1667,262441,63581,1568964
0.0933,0.5083,0.3631,0.0912,0.098,0.4898,0.5102,34526,13105023,1425427
0.3078,0.2487,0.7193,0.2449,0.3571,0.2325,0.2625,61361,56286,51632
0.0979,0.1234,0.4614,0.0929,0.1,0.0833,0.1667,102337296,6750677,102471200
0.0979,0.1248,0.4613,0.0857,0.1,0.0833,0.1667,100567932,55983934,98934809
0.0979,0.1243,0.4613,0.0857,0.1,0.0833,0.1667,92145825,4857451,97158819
0.3502,0.25,0.756,0.2551,0.4694,0.2325,0.265,28516349,1115209,156835
0.342,0.2521,0.7387,0.2449,0.449,0.2375,0.265,197428,336779,106752
0.4065,0.2495,0.7676,0.3265,0.4898,0.2338,0.265,22966894,21450799,20469277
0.1157,0.1376,0.4556,0,0.1143,0.0833,0.1667,11471849,1365327,986246
0.0979,0.1217,0.4615,0.0929,0.1,0.0833,0.1667,2549987,94876,305755
0.0933,0.5084,0.362,0.0912,0.098,0.4898,0.5102,40152,15973303,1416278
0.0979,0.1239,0.4613,0.0857,0.1,0.0833,0.1667,96704726,7155694,102550397
0.1157,0.1339,0.4555,0,0.1143,0.0833,0.1667,6290645,151513,2437655
0.1157,0.1333,0.4555,0,0.1143,0.0625,0.1667,111277,29750,6655853
0.2767,0.2495,0.7829,0.2245,0.3265,0.2325,0.265,51715,49012,22172357
0.0979,0.1268,0.4615,0.0929,0.1,0.0667,0.1667,104723419,22660942,49588662
0.0937,0.5071,0.3654,0.0878,0.098,0.4898,0.5102,40453,15360510,1115810
