tournament_year,group_name,team,team_order,team_fifaCode,team_flagCode,team_flagUrl
1930,Group 1,Argentina,1,ARG,ar,https://flagcdn.com/w80/ar.png
1930,Group 1,Chile,2,CHI,cl,https://flagcdn.com/w80/cl.png
1930,Group 1,France,3,FRA,fr,https://flagcdn.com/w80/fr.png
1930,Group 1,Mexico,4,MEX,mx,https://flagcdn.com/w80/mx.png
1930,Group 2,Yugoslavia,1,YUG,rs,https://flagcdn.com/w80/rs.png
1930,Group 2,Brazil,2,BRA,br,https://flagcdn.com/w80/br.png
1930,Group 2,Bolivia,3,BOL,bo,https://flagcdn.com/w80/bo.png
1930,Group 3,Uruguay,1,URU,uy,https://flagcdn.com/w80/uy.png
1930,Group 3,Romania,2,ROU,ro,https://flagcdn.com/w80/ro.png
1930,Group 3,Peru,3,PER,pe,https://flagcdn.com/w80/pe.png
1930,Group 4,USA,1,USA,us,https://flagcdn.com/w80/us.png
1930,Group 4,Paraguay,2,PAR,py,https://flagcdn.com/w80/py.png
1930,Group 4,Belgium,3,BEL,be,https://flagcdn.com/w80/be.png
1950,Group 1,Brazil,1,BRA,br,https://flagcdn.com/w80/br.png
1950,Group 1,Mexico,2,MEX,mx,https://flagcdn.com/w80/mx.png
1950,Group 1,Switzerland,3,SUI,ch,https://flagcdn.com/w80/ch.png
1950,Group 1,Yugoslavia,4,YUG,rs,https://flagcdn.com/w80/rs.png
1950,Group 2,England,1,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1950,Group 2,Chile,2,CHI,cl,https://flagcdn.com/w80/cl.png
1950,Group 2,Spain,3,ESP,es,https://flagcdn.com/w80/es.png
1950,Group 2,United States,4,USA,us,https://flagcdn.com/w80/us.png
1950,Group 3,Italy,1,ITA,it,https://flagcdn.com/w80/it.png
1950,Group 3,India,2,IND,in,https://flagcdn.com/w80/in.png
1950,Group 3,Paraguay,3,PAR,py,https://flagcdn.com/w80/py.png
1950,Group 3,Sweden,4,SWE,se,https://flagcdn.com/w80/se.png
1950,Group 4,Uruguay,1,URU,uy,https://flagcdn.com/w80/uy.png
1950,Group 4,Bolivia,2,BOL,bo,https://flagcdn.com/w80/bo.png
1950,Group 4,France,3,FRA,fr,https://flagcdn.com/w80/fr.png
1954,Group 1,Brazil,1,BRA,br,https://flagcdn.com/w80/br.png
1954,Group 1,Yugoslavia,2,YUG,rs,https://flagcdn.com/w80/rs.png
1954,Group 1,France,3,FRA,fr,https://flagcdn.com/w80/fr.png
1954,Group 1,Mexico,4,MEX,mx,https://flagcdn.com/w80/mx.png
1954,Group 2,Hungary,1,HUN,hu,https://flagcdn.com/w80/hu.png
1954,Group 2,West Germany,2,FRG,de,https://flagcdn.com/w80/de.png
1954,Group 2,Turkey,3,TUR,tr,https://flagcdn.com/w80/tr.png
1954,Group 2,South Korea,4,KOR,kr,https://flagcdn.com/w80/kr.png
1954,Group 3,Uruguay,1,URU,uy,https://flagcdn.com/w80/uy.png
1954,Group 3,Austria,2,AUT,at,https://flagcdn.com/w80/at.png
1954,Group 3,Czechoslovakia,3,TCH,cz,https://flagcdn.com/w80/cz.png
1954,Group 3,Scotland,4,SCO,gb-sct,https://flagcdn.com/w80/gb-sct.png
1954,Group 4,England,1,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1954,Group 4,Switzerland,2,SUI,ch,https://flagcdn.com/w80/ch.png
1954,Group 4,Italy,3,ITA,it,https://flagcdn.com/w80/it.png
1954,Group 4,Belgium,4,BEL,be,https://flagcdn.com/w80/be.png
1958,Group 1,West Germany,1,FRG,de,https://flagcdn.com/w80/de.png
1958,Group 1,Northern Ireland,2,NIR,gb-nir,https://flagcdn.com/w80/gb-nir.png
1958,Group 1,Czechoslovakia,3,TCH,cz,https://flagcdn.com/w80/cz.png
1958,Group 1,Argentina,4,ARG,ar,https://flagcdn.com/w80/ar.png
1958,Group 2,France,1,FRA,fr,https://flagcdn.com/w80/fr.png
1958,Group 2,Yugoslavia,2,YUG,rs,https://flagcdn.com/w80/rs.png
1958,Group 2,Paraguay,3,PAR,py,https://flagcdn.com/w80/py.png
1958,Group 2,Scotland,4,SCO,gb-sct,https://flagcdn.com/w80/gb-sct.png
1958,Group 3,Sweden,1,SWE,se,https://flagcdn.com/w80/se.png
1958,Group 3,Wales,2,WAL,gb-wls,https://flagcdn.com/w80/gb-wls.png
1958,Group 3,Hungary,3,HUN,hu,https://flagcdn.com/w80/hu.png
1958,Group 3,Mexico,4,MEX,mx,https://flagcdn.com/w80/mx.png
1958,Group 4,Brazil,1,BRA,br,https://flagcdn.com/w80/br.png
1958,Group 4,Soviet Union,2,URS,ru,https://flagcdn.com/w80/ru.png
1958,Group 4,England,3,ENG,gb-eng,https://flagcdn.com/w80/gb-eng.png
1958,Group 4,Austria,4,AUT,at,https://flagcdn.com/w80/at.png
1962,Group 1,Soviet Union,1,URS,ru,https://flagcdn.com/w80/ru.png
1962,Group 1,Yugoslavia,2,YUG,rs,https://flagcdn.com/w80/rs.png
1962,Group 1,Uruguay,3,URU,uy,https://flagcdn.com/w80/uy.png
1962,Group 1,Colombia,4,COL,co,https://flagcdn.com/w80/co.png
1962,Group 2,West Germany,1,FRG,de,https://flagcdn.com/w80/de.png
1962,Group 2,Chile,2,CHI,cl,https://flagcdn.com/w80/cl.png
1962,Group 2,Italy,3,ITA,it,https://flagcdn.com/w80/it.png
1962,Group 2,Switzerland,4,SUI,ch,https://flagcdn.com/w80/ch.png
1962,Group 3,Brazil,1,BRA,br,https://flagcdn.com/w80/br.png
1962,Group 3,Czechoslovakia,2,TCH,cz,https://flagcdn.com/w80/cz.png
1962,Group 3,Mexico,3,MEX,mx,https://flagcdn.com/w80/mx.png
